codigo_peca;descricao_original;nome_peca;categoria;marca_fabricante;modelo_moto;preco;quantidade_estoque;quantidade_minima;status
350431;GUARNICAO ESCAPE BROS 150 09.../BROS 160/ XRE190 VEDA;GUARNICAO ESCAPE;ESCAPAMENTO;VEDAMOTORS;BROS 150 / BROS 160 / XRE190;11.74;15;11;DISPONIVEL
350432;GUARNICAO ESCAPE LANDER 250/ XT 660 VEDA;GUARNICAO ESCAPE;ESCAPAMENTO;VEDAMOTORS;LANDER 250;14.54;99;8;DISPONIVEL
350440;GUARNICAO ESCAPE XTZ125 03-16 VEDAMOTORS;GUARNICAO ESCAPE XTZ125 03-16 VEDAMOTORS;MOTOR;VEDAMOTORS;XTZ125;9.93;91;18;DISPONIVEL
350450;GUARNICAO TAMPA VALV FACTOR/ FAZER/ CROSSER 150 VALFLEX;GUARNICAO TAMPA VALV;OUTROS;VALFLEX;CROSSER 150;2.56;35;4;DISPONIVEL
350451;GUARNICAO TAMPA VALV CB TWISTER 250 16... ED VALFLEX;GUARNICAO TAMPA VALV;OUTROS;VALFLEX;TWISTER 250;13.01;97;20;DISPONIVEL
350460;GUARNICAO TAMPA VALV CITYCOM 300 VALFLEX;GUARNICAO TAMPA VALV CITYCOM 300 VALFLEX;OUTROS;VALFLEX;NÃO IDENTIFICADO;21.62;59;9;DISPONIVEL
350480;GUARNICAO CUBA TITAN 125 99-08/ TIT 150/BROS150/CBX200 MOTOBOR;GUARNICAO CUBA;OUTROS;MOTOBOR;TITAN 125 / TITAN 150 / BROS150 / CBX200;0.43;58;8;DISPONIVEL
350487;GUARNICAO CUBA YES 125/ INTRU 125 VEDA;GUARNICAO CUBA;OUTROS;VEDAMOTORS;YES 125;3.61;17;13;DISPONIVEL
350488;GUARNICAO CUBA BIZ 100 12... VEDA;GUARNICAO CUBA;OUTROS;VEDAMOTORS;BIZ 100;3.37;94;7;DISPONIVEL
350492;GUARNICAO TAMPA VALV TITAN 160/ BROS 160/ XRE190 KIT VEDA;GUARNICAO TAMPA VALV;OUTROS;VEDAMOTORS;TITAN 160 / BROS 160 / XRE190;7.53;30;17;DISPONIVEL
350495;GUARNICAO CUBA BIZ 100 98-05/ BIZ 125 06-08/DREAM/WEB VEDA;GUARNICAO CUBA;OUTROS;VEDAMOTORS;BIZ 100 / BIZ 125;2.56;31;7;DISPONIVEL
350497;GUARNICAO CUBA TWIS/ TORN/ FALC 400 VEDA;GUARNICAO CUBA;OUTROS;VEDAMOTORS;NÃO IDENTIFICADO;3.33;54;13;DISPONIVEL
